repeticao,ordem,versao,topologia,cache,get_bulk,get_common,miss_pct
1,1,25.11,simetrico,512,62628,1,0.00
1,1,26.07,simetrico,512,62628,1,0.00
1,2,26.07,simetrico,48,62628,1,0.00
1,2,25.11,simetrico,48,62628,1,0.00
1,3,25.11,simetrico,128,62628,1,0.00
1,3,26.07,simetrico,128,62628,1,0.00
1,4,26.07,assimetrico,16,88001,88000,100.00
1,4,25.11,assimetrico,16,81530,81529,100.00
1,5,25.11,simetrico,256,62628,1,0.00
1,5,26.07,simetrico,256,62628,1,0.00
1,6,26.07,simetrico,0,62628,62628,100.00
1,6,25.11,simetrico,0,62628,62628,100.00
1,7,25.11,assimetrico,128,96531,12501,12.95
1,7,26.07,assimetrico,128,99413,31250,31.43
1,8,26.07,assimetrico,512,96003,7813,8.14
1,8,25.11,assimetrico,512,88262,3677,4.17
1,9,25.11,simetrico,24,62628,1,0.00
1,9,26.07,simetrico,24,62628,62628,100.00
1,10,26.07,simetrico,16,62628,62628,100.00
1,10,25.11,simetrico,16,62628,62628,100.00
1,11,25.11,assimetrico,32,97132,34643,35.67
1,11,26.07,assimetrico,32,102116,62501,61.21
1,12,26.07,simetrico,32,62628,1,0.00
1,12,25.11,simetrico,32,62628,1,0.00
1,13,25.11,assimetrico,24,88680,62500,70.48
1,13,26.07,assimetrico,24,89198,89198,100.00
1,14,26.07,assimetrico,256,94145,15625,16.60
1,14,25.11,assimetrico,256,91529,6945,7.59
1,15,25.11,simetrico,96,62628,1,0.00
1,15,26.07,simetrico,96,62628,1,0.00
1,16,26.07,assimetrico,48,100425,62501,62.24
1,16,25.11,assimetrico,48,106459,31617,29.70
1,17,25.11,assimetrico,64,93737,20834,22.23
1,17,26.07,assimetrico,64,98516,62500,63.44
1,18,26.07,assimetrico,96,106601,41667,39.09
1,18,25.11,assimetrico,96,92026,15626,16.98
1,19,25.11,simetrico,64,62628,1,0.00
1,19,26.07,simetrico,64,62628,1,0.00
1,20,26.07,assimetrico,0,89168,89168,100.00
1,20,25.11,assimetrico,0,88050,88050,100.00
2,1,26.07,assimetrico,64,94952,62500,65.82
2,1,25.11,assimetrico,64,96376,20834,21.62
2,2,25.11,assimetrico,512,93420,3677,3.94
2,2,26.07,assimetrico,512,93784,7813,8.33
2,3,26.07,assimetrico,128,98949,31250,31.58
2,3,25.11,assimetrico,128,93897,12501,13.31
2,4,25.11,assimetrico,96,91309,15626,17.11
2,4,26.07,assimetrico,96,107287,41667,38.84
2,5,26.07,simetrico,16,62628,62628,100.00
2,5,25.11,simetrico,16,62628,62628,100.00
2,6,25.11,assimetrico,0,92547,92547,100.00
2,6,26.07,assimetrico,0,90081,90081,100.00
2,7,26.07,simetrico,48,62628,1,0.00
2,7,25.11,simetrico,48,62628,1,0.00
2,8,25.11,simetrico,0,62628,62628,100.00
2,8,26.07,simetrico,0,62628,62628,100.00
